Make,Model,Model_Submodel,Submodel,Year,Vehicle Type
Victory,Vision,Vision 8 Ball,8 Ball,2011,Motorcycle
Kawasaki,Ninja ZX14R,Ninja ZX14R ZX1400F ABS,ZX1400F ABS,2012,Motorcycle
Apollo Choppers,Aegis,Aegis Chopper,Chopper,2017,Motorcycle
Ducati,Motocross 200,Motocross 200,--,1960,Motorcycle
Proper Chopper,357 ST,357 ST Bobber,Bobber,2008,Motorcycle
Ossa,Stiletto TT,Stiletto TT 250,250,1974,Motorcycle
Benelli,Dynamo,Dynamo Compact 65,Compact 65,1971,Motorcycle
Husqvarna,WXC410,WXC410,--,1996,Motorcycle
Penton,JackPiner,JackPiner 175 Enduro,175 Enduro,1973,Motorcycle
GAS GAS,XC250,XC250 Cervantes Replica,Cervantes Replica,2011,Motorcycle
Kawasaki,KLX110,KLX110,--,2020,Motorcycle
Motor Trike,Valkyrie,Valkyrie,--,2017,Motorcycle
Cobra Motorcycle,CX50,CX50 JR,JR,2010,Motorcycle
BMW,K75T,K75T,--,1987,Motorcycle
Norton,Dominator,Dominator Model 88,Model 88,1961,Motorcycle
Harley-Davidson,G Servi Car,G Servi Car V Twin 45,V Twin 45,1933,Motorcycle
Honda,XL250,XL250 Motosport 250,Motosport 250,1983,Motorcycle
Redneck,GETTINHIGH,GETTINHIGH,--,2008,Motorcycle
Bourget's Bike Works,Fat Daddy,Fat Daddy 330 Magnum,330 Magnum,2008,Motorcycle
Husqvarna,WR125,WR125,--,2010,Motorcycle
Old School Motorcycle Co,Time Bandit Deluxe,Time Bandit Deluxe DG-49 P,DG-49 P,2018,Motorcycle
Cagiva,Planet,Planet 125,125,2003,Motorcycle
Midwest Motor Vehicles,Pup,Pup 50,50,2001,Motorcycle
Honda,XL600R,XL600R,--,1984,Motorcycle
Big Bear Choppers,Devils Advocate,Devils Advocate Chopper EFI,Chopper EFI,2011,Motorcycle
BETA,RK6,RK6 50,50,1994,Motorcycle
V8 Choppers,TRE,TRE,--,2014,Motorcycle
Von Dutch Kustom Cycles,Dragnet SS,Dragnet SS Procomp ST,Procomp ST,2005,Motorcycle
Vengeance Motorcycles,Teacher,Teacher,--,2005,Motorcycle
Hyosung,ST7,ST7,--,2015,Motorcycle
Polini,X3P,X3P Air,Air,2010,Motorcycle
Velocette,Scrambler Competition,Scrambler Competition Single 499,Single 499,1963,Motorcycle
Covington Cycle City,Bobber,Bobber,--,2012,Motorcycle
Harley-Davidson,Softail,Softail Standard EFI FXSTI,Standard EFI FXSTI,2005,Motorcycle
Harley-Davidson,Heritage Softail,Heritage Softail Classic FLSTC,Classic FLSTC,2013,Motorcycle
V8 Choppers,SPD,SPD,--,2012,Motorcycle
Borella,LS1100,LS1100 DLX,DLX,1984,Motorcycle
BMW,K1200R,K1200R,--,2008,Motorcycle
Honda,CBR500R,CBR500R,--,2018,Motorcycle
Ural,T,T With Sidecar,With Sidecar,2013,Motorcycle
Honda,XR100,XR100,--,1981,Motorcycle
Ducati,Multistrada 1260,Multistrada 1260 Touring Pikes Peak,Touring Pikes Peak,2019,Motorcycle
BETA,Minitrial,Minitrial 50,50,2002,Motorcycle
Rokon,Ranger,Ranger,--,1995,Motorcycle
Marauder,Bandit,Bandit VTC1250,VTC1250,2013,Motorcycle
Cagiva,Raptor,Raptor 125,125,2004,Motorcycle
Triumph,Tiger 800,Tiger 800 XRX,XRX,2016,Motorcycle
Sherco,2.5i,2.5i Enduro 250,Enduro 250,2008,Motorcycle
Wild West,Dragoon,Dragoon,--,2007,Motorcycle
Ducati,Sport Desmo 500,Sport Desmo 500,--,1982,Motorcycle
Sherco,Xride 1.25,Xride 1.25,--,2014,Motorcycle
Husqvarna,CR460,CR460,--,1975,Motorcycle
Ducati,748,748 Biposto,Biposto,1994,Motorcycle
Harley-Davidson,Sportster 883,Sportster 883 XLCH,XLCH,1971,Motorcycle
Honda,CB900F,CB900F 919,919,2005,Motorcycle
Ural,Solo Classic,Solo Classic,--,1999,Motorcycle
Big Bear Choppers,Merc,Merc Rigid Carb,Rigid Carb,2013,Motorcycle
